LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS	
2023-12-29 08:03:21.024613	Colombia	CO	Vaupés	CO-VAU							Carretera Mitú a Urania	L4817239	H	1.2708337	-70.2155730	2023-03-29	16:15:00	obsr235781	S132169804	Traveling	P22	EBIRD	75	1.609		3	0		Migual Portura	
2023-03-18 09:17:48.41648	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-03-03	15:41:00	obsr346210	S130074696	Incidental	P20	EBIRD				2	0	G9836577		
2023-03-18 09:17:48.41648	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-03-03	15:41:00	obsr1037783	S131172025	Incidental	P20	EBIRD				2	0	G9836577		
2023-04-02 13:40:14.962402	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-04-02	12:38:00	obsr235781	S132501336	Incidental	P20	EBIRD				1	0			
2023-11-15 20:59:13.520485	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-11-15	20:57:00	obsr1095083	S154535428	Incidental	P20	EBIRD				1	0			
2023-01-31 19:40:45.400794	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-01-21	16:04:00	obsr543784	S127363871	Traveling	P22	EBIRD	1	0.210		1	1			
2023-12-23 14:07:43.921585	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-12-22	17:02:00	obsr685025	S156946522	Stationary	P21	EBIRD	8			2	1	G11356451		
2023-06-03 21:00:58.451519	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-06-02	05:57:00	obsr742378	S140400040	Incidental	P20	EBIRD				2	0	G10373057		
2023-06-03 21:00:58.451519	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-06-02	05:57:00	obsr1158186	S140192082	Incidental	P20	EBIRD				2	0	G10373057		
2023-07-14 16:52:44.616737	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-02-21	07:15:00	obsr909601	S133452077	Stationary	P21	EBIRD	10			1	1	G9980969		
2023-07-14 16:52:44.616737	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-02-21	07:15:00	obsr157963	S129282586	Stationary	P21	EBIRD	10			1	1	G9980969		
2023-01-13 04:10:23.095104	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-01-12	16:44:00	obsr423367	S126033778	Incidental	P20	EBIRD				2	0			
2023-01-15 16:37:23.776236	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-01-15	16:36:00	obsr423367	S126240670	Incidental	P20	EBIRD				2	0			
